source,target,source_name,target_name,role,sum_box_office,avg_box_office,avg_rating,movies
45400,1832144,Greta Gerwig,Nick Houy,Editor,1735642093.0,578547364,7.46,"[{""id"": 331482, ""title"": ""Little Women"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt3281548/"", ""rating"": 7.892, ""revenue"": 216601214}, {""id"": 391713, ""title"": ""Lady Bird"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt4925292/"", ""rating"": 7.273, ""revenue"": 78966486}, {""id"": 346698, ""title"": ""Barbie"", ""genre"": ""Comedy"", ""link"": ""https://www.imdb.com/title/tt1517268/"", ""rating"": 7.221, ""revenue"": 1440074393}]"
45400,4404,Greta Gerwig,Yorick Le Saux,Cinematographer,216601214.0,216601214,7.89,"[{""id"": 331482, ""title"": ""Little Women"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt3281548/"", ""rating"": 7.892, ""revenue"": 216601214}]"
45400,2949,Greta Gerwig,Alexandre Desplat,Music Composer,216601214.0,216601214,7.89,"[{""id"": 331482, ""title"": ""Little Women"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt3281548/"", ""rating"": 7.892, ""revenue"": 216601214}]"
45400,312,Greta Gerwig,Jon Brion,Music Composer,78966486.0,78966486,7.27,"[{""id"": 391713, ""title"": ""Lady Bird"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt4925292/"", ""rating"": 7.273, ""revenue"": 78966486}]"
45400,275,Greta Gerwig,Rodrigo Prieto,Cinematographer,1440074393.0,1440074393,7.22,"[{""id"": 346698, ""title"": ""Barbie"", ""genre"": ""Comedy"", ""link"": ""https://www.imdb.com/title/tt1517268/"", ""rating"": 7.221, ""revenue"": 1440074393}]"
45400,77071,Greta Gerwig,Mark Ronson,Music Composer,1440074393.0,1440074393,7.22,"[{""id"": 346698, ""title"": ""Barbie"", ""genre"": ""Comedy"", ""link"": ""https://www.imdb.com/title/tt1517268/"", ""rating"": 7.221, ""revenue"": 1440074393}]"
7623,7712,Sam Raimi,Bob Murawski,Editor,4126513741.0,458501527,6.74,"[{""id"": 559, ""title"": ""Spider-Man 3"", ""genre"": ""Fantasy"", ""link"": ""https://www.imdb.com/title/tt0413300/"", ""rating"": 6.4, ""revenue"": 894983373}, {""id"": 558, ""title"": ""Spider-Man 2"", ""genre"": ""Action"", ""link"": ""https://www.imdb.com/title/tt0316654/"", ""rating"": 7.26, ""revenue"": 788976453}, {""id"": 766, ""title"": ""Army of Darkness"", ""genre"": ""Fantasy"", ""link"": ""https://www.imdb.com/title/tt0106308/"", ""rating"": 7.265, ""revenue"": 21502976}, {""id"": 2046, ""title"": ""The Gift"", ""genre"": ""Horror"", ""link"": ""https://www.imdb.com/title/tt0219699/"", ""rating"": 6.42, ""revenue"": 12008642}, {""id"": 16871, ""title"": ""Drag Me to Hell"", ""genre"": ""Horror"", ""link"": ""https://www.imdb.com/title/tt1127180/"", ""rating"": 6.408, ""revenue"": 90810892}, {""id"": 68728, ""title"": ""Oz the Great and Powerful"", ""genre"": ""Fantasy"", ""link"": ""https://www.imdb.com/title/tt1623205/"", ""rating"": 5.9, ""revenue"": 491868548}, {""id"": 453395, ""title"": ""Doctor Strange in the Multiverse of Madness"", ""genre"": ""Fantasy"", ""link"": ""https://www.imdb.com/title/tt9419884/"", ""rating"": 7.349, ""revenue"": 955775804}, {""id"": 557, ""title"": ""Spider-Man"", ""genre"": ""Fantasy"", ""link"": ""https://www.imdb.com/title/tt0145487/"", ""rating"": 7.281, ""revenue"": 821708551}, {""id"": 9556, ""title"": ""Darkman"", ""genre"": ""Action"", ""link"": ""https://www.imdb.com/title/tt0099365/"", ""rating"": 6.402, ""revenue"": 48878502}]"
7623,9341,Sam Raimi,Bill Pope,Cinematographer,1754341304.0,438585326,6.83,"[{""id"": 559, ""title"": ""Spider-Man 3"", ""genre"": ""Fantasy"", ""link"": ""https://www.imdb.com/title/tt0413300/"", ""rating"": 6.4, ""revenue"": 894983373}, {""id"": 558, ""title"": ""Spider-Man 2"", ""genre"": ""Action"", ""link"": ""https://www.imdb.com/title/tt0316654/"", ""rating"": 7.26, ""revenue"": 788976453}, {""id"": 766, ""title"": ""Army of Darkness"", ""genre"": ""Fantasy"", ""link"": ""https://www.imdb.com/title/tt0106308/"", ""rating"": 7.265, ""revenue"": 21502976}, {""id"": 9556, ""title"": ""Darkman"", ""genre"": ""Action"", ""link"": ""https://www.imdb.com/title/tt0099365/"", ""rating"": 6.402, ""revenue"": 48878502}]"
7623,19155,Sam Raimi,Christopher Young,Music Composer,997802907.0,332600969,6.41,"[{""id"": 559, ""title"": ""Spider-Man 3"", ""genre"": ""Fantasy"", ""link"": ""https://www.imdb.com/title/tt0413300/"", ""rating"": 6.4, ""revenue"": 894983373}, {""id"": 2046, ""title"": ""The Gift"", ""genre"": ""Horror"", ""link"": ""https://www.imdb.com/title/tt0219699/"", ""rating"": 6.42, ""revenue"": 12008642}, {""id"": 16871, ""title"": ""Drag Me to Hell"", ""genre"": ""Horror"", ""link"": ""https://www.imdb.com/title/tt1127180/"", ""rating"": 6.408, ""revenue"": 90810892}]"
7623,531,Sam Raimi,Danny Elfman,Music Composer,2653158559.0,442193093,7.12,"[{""id"": 558, ""title"": ""Spider-Man 2"", ""genre"": ""Action"", ""link"": ""https://www.imdb.com/title/tt0316654/"", ""rating"": 7.26, ""revenue"": 788976453}, {""id"": 766, ""title"": ""Army of Darkness"", ""genre"": ""Fantasy"", ""link"": ""https://www.imdb.com/title/tt0106308/"", ""rating"": 7.265, ""revenue"": 21502976}, {""id"": 10223, ""title"": ""A Simple Plan"", ""genre"": ""Crime"", ""link"": ""https://www.imdb.com/title/tt0120324/"", ""rating"": 7.162, ""revenue"": 16316273}, {""id"": 453395, ""title"": ""Doctor Strange in the Multiverse of Madness"", ""genre"": ""Fantasy"", ""link"": ""https://www.imdb.com/title/tt9419884/"", ""rating"": 7.349, ""revenue"": 955775804}, {""id"": 557, ""title"": ""Spider-Man"", ""genre"": ""Fantasy"", ""link"": ""https://www.imdb.com/title/tt0145487/"", ""rating"": 7.281, ""revenue"": 821708551}, {""id"": 9556, ""title"": ""Darkman"", ""genre"": ""Action"", ""link"": ""https://www.imdb.com/title/tt0099365/"", ""rating"": 6.402, ""revenue"": 48878502}]"
7623,11648,Sam Raimi,Kaye Davis,Editor,10900000.0,10900000,7.56,"[{""id"": 765, ""title"": ""Evil Dead II"", ""genre"": ""Horror"", ""link"": ""https://www.imdb.com/title/tt0092991/"", ""rating"": 7.557, ""revenue"": 10900000}]"
